Topic,Count,Representation
-1,4670,"['co2', 'klimaschutz', 'klima', 'bundesregierung', 'klimawandel', 'klimapolitik', 'müssen', 'emissionen', 'klimakrise', 'euro', 'energiewende', 'thema']"
0,459,"['deutschland', 'deutsche', 'deutschen', 'deutschlands', 'energiewende', 'bundesrepublik', 'klimaschutz', 'klimaschutzziele', 'europa', 'klimaziel', 'klimapolitik', 'wirtschaftsstandort']"
1,419,"['kohleausstieg', 'kohleausstiegsgesetz', 'kohleausstiegs', 'kohlekommission', 'strukturwandel', '2038', 'kommission', 'beschließen', 'bundesregierung', 'atomausstieg', 'versorgungssicherheit', 'kohleausstiegskommission']"
2,221,"['energiewende', 'bürgerinnen', 'erneuerbaren', 'erfolg', 'energien', 'führen', 'power', 'bürger', 'einkommensschwachen', 'agrarwende', 'gemeinsam', 'nutzen']"
3,216,"['mobilität', 'klimafreundliche', 'verkehrswende', 'klimafreundlichen', 'verkehr', 'verkehrspolitik', 'klimaschutzziele', 'klimafreundlich', 'verkehrssektor', 'mobilitätswende', 'klimafreundlicher', 'elektromobilität']"
4,185,"['klimaschutz', 'wichtig', 'brauchen', 'maßnahmen', 'müssen', 'umweltschutz', 'schützen', 'klima', 'echter', 'dauerreparaturmodus', 'gemeinschaftsaufgabe', 'freiheit']"
5,170,"['klimaschutzgesetz', 'grundgesetz', 'klimaschutzgesetzes', 'gesetzlich', 'verabschiedet', 'gesetz', 'entwurf', 'gesetzentwurf', 'änderung', 'jahr', 'klimagesetz', 'klimaschutzpaket']"
6,166,"['wälder', 'wäldern', 'waldumbau', 'co2', 'mischwälder', 'forstwirtschaft', 'klimaretter', 'hektar', 'mischwäldern', 'naturnahen', 'abgeholzt', 'klimaschutzleistung']"
7,136,"['europa', 'europäische', 'union', 'europäischen', 'europas', 'europäischer', 'kommission', 'klimaschutz', 'menschenrechte', 'green', 'sicherheitspolitik', 'klimapolitik']"
8,135,"['energiewende', 'energieerzeugung', 'system', 'kosten', 'gescheitert', 'ideologie', 'subventioniert', 'kontraproduktiv', 'überflüssig', 'scheitert', 'betriebene', 'armutszeugnis']"
9,128,"['bepreisung', 'co2', 'atmosphäre', 'luft', 'geblasen', 'müllhalde', 'herausholen', 'ausstoßen', 'zukünftig', 'preis', 'packen', 'überlegen']"
10,124,"['leugnen', 'klimawandel', 'klimaleugner', 'zeugt', 'menschengemachten', 'sagen', 'klimaschutz', 'trump', 'falsche', 'bewusst', 'politik', 'klimawandelleugnern']"
11,121,"['rede', 'debatte', 'gesagt', 'klimaschutz', 'antrag', 'klimapolitik', 'angesprochen', 'sagen', 'gesprochen', 'debatten', 'klimaforschern', 'klimaexperte']"
12,113,"['reduzieren', 'emissionen', 'co2', 'reduktion', 'einsparen', 'sparen', 'einzusparen', 'reduzierung', 'nachhaltig', 'einsparung', 'vermindern', 'verringern']"
13,111,"['emissionshandel', 'europäischen', 'emissionshandels', 'sektoren', 'europäische', 'emissionshandelssystem', 'reform', 'ausweitung', 'europa', 'emissionshandelsrichtlinie', 'emissionshandelssystems', 'mitgliedstaaten']"
14,102,"['kosten', 'geld', 'ausgeben', 'folgekosten', 'klimapolitik', 'klima', 'klimaschutz', 'sozialversicherung', 'verfehlung', 'zurückzustellen', 'nichthandelns', 'umweltverschmutzung']"
15,102,"['gerechtigkeit', 'gemeinsam', 'soziale', 'menschen', 'klimabewegung', 'klimagerechtigkeit', 'klimaschutz', 'gewerkschaften', 'bürger', 'bürgerinnen', 'solidarisch', 'verantwortung']"
16,98,"['2050', 'klimaneutral', 'klimaneutralität', 'klimaneutrale', 'treibhausgasneutralität', 'neutralität', '2045', 'wirtschaft', 'neutral', 'jahr', 'treibhausgasneutral', 'fahrplan']"
17,98,"['digitalisierung', 'herausforderungen', 'klimawandel', 'klimakrise', 'wirtschaft', 'künstliche', 'infrastruktur', 'digitalen', 'digitale', 'fortschritt', 'klimaschonenden', 'gesellschaftlichen']"
18,95,"['verkehrswende', 'radverkehr', 'öffentlichen', 'bus', 'mobilität', 'verkehrssicherheit', 'personennahverkehr', 'verkehr', 'gesundheitsschutz', 'kommunen', 'verkehrskollaps', 'eisenbahn']"
19,91,"['euro', 'milliarden', 'klimafonds', 'energie', '80', 'klimaschutzinitiative', 'jahr', 'ausgaben', '50', 'subventionen', 'projekte', '2023']"
20,90,"['emissionshandel', 'ausweitung', 'emissionshandels', 'emissionshandelssystem', 'verkehr', 'brennstoffemissionshandel', 'zertifikaten', 'sektoren', 'brennstoffemissionshandelsgesetz', 'wirtschaftssektoren', 'handel', 'industriestaaten']"
21,90,"['wirtschaft', 'arbeitsplätze', 'klimaschutz', 'ökologie', 'wohlstand', 'wirtschaftliche', 'schützen', 'ökonomie', 'zusammenbringen', 'politik', 'arbeit', 'soziale']"
22,86,"['klimakrise', 'bekämpfen', 'klimakatastrophe', 'klimawandel', 'müssen', 'fiktion', 'bekämpfung', 'menschen', 'einzudämmen', 'entgegentreten', 'klimawandels', 'priorität']"
23,84,"['erreichen', 'klimaschutzziele', 'ehrgeizige', 'klimaziel', 'tatsächlich', 'ambitionierten', 'erfolgreich', 'planeten', 'klimaschutzziel', 'sonderausschreibungen', 'vereinbarten', 'müssen']"
24,78,"['konflikte', 'klimaflüchtlinge', 'menschen', 'klimakrise', 'migration', 'klimawandel', 'gewalt', 'armutsrisiko', 'naturkatastrophen', 'klimawandels', 'krieg', 'armut']"
25,75,"['preis', 'co2', 'wirksamen', 'müssen', 'preisschild', 'bezahlen', 'belange', 'überlegen', 'brauchen', 'marktwirtschaftlichen', 'gesetz', 'grund']"
26,75,"['steuer', 'co2', 'bepreisung', 'ungerecht', 'verfassungskonform', 'falsche', 'juristen', 'diskussion', 'verfassungswidrig', 'trump', 'europäischen', 'gesetz']"
27,75,"['pariser', 'klimaschutzabkommen', 'paris', 'klimaabkommen', '2015', 'klimaabkommens', 'einstimmig', 'unterzeichnet', 'abkommen', 'nachhaltigkeitszielen', 'klimaschutzvertrag', 'verbindlich']"
28,74,"['deutschland', 'weltklima', 'co2', 'weltweiten', 'hätte', 'theoretische', 'emissionen', 'deutschen', 'deutsche', 'verbrauchen', 'nachbarländern', 'deutschlands']"
29,74,"['landwirtschaft', 'agrarpolitik', 'forstwirtschaft', 'tierhaltung', 'landwirten', 'tierschutz', 'artenschutz', 'lebensbedingungen', 'peru', 'bevölkerungsentwicklung', 'bedroht', 'landwirtinnen']"
30,73,"['klimawandel', 'menschengemachten', 'menschengemacht', 'menschgemachten', 'jahrtausenden', 'wissenschaft', 'klimaschwankungen', 'fakt', 'einfluss', 'klimawandels', 'erderhitzung', 'wissenschaftlich']"
31,72,"['afrika', 'zusammenarbeit', 'entwicklungszusammenarbeit', 'länder', 'international', 'internationaler', 'ländern', 'armut', 'schwellenländern', 'globalen', 'weltweit', 'klimawandel']"
32,69,"['diesel', 'verbrennungsmotoren', 'fahrzeuge', 'autos', 'fahrzeugen', 'klimaneutral', 'kraftstoffen', 'verbrennungsmotor', 'synthetische', 'fuels', 'co2', 'verbrennungstechnologie']"
33,66,"['innovation', 'innovationen', 'ideen', 'forschung', 'innovative', 'technologien', 'technologie', 'fördern', 'entwicklung', 'klimaschutz', 'innovationsklima', 'anreizen']"
34,63,"['pariser', '2020', '2030', 'klimaabkommen', 'klimaschutzziele', 'einigung', 'klimaschutzziel', '2038', 'kohärente', 'klimaschutzabkommen', '2050', 'bundesregierung']"
35,62,"['energien', 'erneuerbaren', 'erneuerbare', 'energiewende', 'erreichen', 'energiepolitik', 'technologien', 'synthetische', 'ausbaupfad', 'ressourcen', 'energie', 'ausbauen']"
36,62,"['bauen', 'wohnen', 'wohnungsbau', 'wohnungen', 'klimakomponente', 'sanieren', 'gebäudesektor', 'gebäude', 'bauens', 'klimagerechtes', 'klimaanlagen', 'klimaschutz']"
37,60,"['herausforderung', 'herausforderungen', 'klimawandel', 'globale', 'global', 'menschheit', 'generation', 'klimafrage', 'jahrhunderts', 'größten', 'globales', 'menschheitsfrage']"
38,60,"['2030', '2020', '2050', 'klimaschutzplan', 'klimaziel', 'klimaschutzprogramm', 'erreichen', 'schnell', 'klimaziels', 'klimaschutzziele', 'transformation', 'gigawatt']"
39,59,"['klimaschutzziele', 'zeit', 'erreichen', 'lücken', 'erreicht', 'klimaziele', 'ministerien', 'ausreichend', 'klimaschutz', 'genug', 'frieden', 'wirksam']"
40,58,"['klimapolitik', 'umsetzen', 'nachhaltigkeitspolitik', 'wirtschaftspolitik', 'sozialpolitik', 'ausgestalten', 'sicherheitspolitik', 'gründen', 'projekte', 'angeht', 'klimapolitisch', 'politischen']"
41,54,"['future', 'klimastreik', 'jugendliche', 'demonstrieren', 'jungen', 'menschen', 'junge', 'bewegung', 'rebellion', 'protestaktion', 'demonstriert', 'protestieren']"
42,54,"['klimapaket', 'umfassendes', 'verabschiedet', 'klimapakets', 'paket', 'klimapaketes', 'klimapäckchens', 'klimaschutzpaket', 'klimakabinett', 'entwurf', 'umgesetzt', 'morgen']"
43,49,"['klimafonds', 'energie', 'einzelplan', 'ekf', 'haushalt', 'einzelplänen', 'ausgaben', 'finanzieren', 'bewirtschaftet', '60', 'einnahmen', 'verfügung']"
44,49,"['demokraten', 'sozialdemokraten', 'sozialen', 'diktatur', 'union', 'bundestagsfraktion', 'klimaschutzgesetz', 'haushaltsberatungen', 'vernünftigen', 'unterstützt', 'mehrheit', 'koalition']"
45,49,"['weltweiten', 'deutschland', 'emissionen', 'weltbevölkerung', 'deutschlands', 'co2', 'tonnen', 'ausstoß', 'china', 'deutsche', 'globalen', 'deutschlandweit']"
46,49,"['klimakrise', 'veränderungen', 'klimakatastrophe', 'klimanotstand', 'städte', 'humanitäre', 'drohende', 'hierzulande', 'katastrophe', 'krisen', 'verschärft', 'klimawandel']"
47,48,"['tonne', 'gramm', 'kilometer', 'euro', '95', 'grenzwert', 'co2', '100', 'liter', 'steuer', 'kostet', 'benzin']"
48,45,"['klimaschutz', 'gegeneinander', 'entscheiden', 'ländlichen', 'versorgungssicherheit', 'politik', 'verhandelbar', 'unliebsamen', 'unpopulären', 'fehlgeleiteten', 'kulturkämpfen', 'hauptverantwortung']"
49,42,"['pariser', 'abkommen', 'abkommens', 'klimaabkommen', 'menschenrechtsrat', 'iran', 'kündigung', 'usa', 'klimaabkommens', 'klimaschutzabkommen', 'klimaübereinkunft', 'multilateralen']"
50,40,"['grünen', 'grüne', 'green', 'deal', 'fraktion', 'gebrannt', 'anträge', 'förderpolitik', 'kolleginnen', 'fordern', 'antrag', 'ausweitung']"
51,39,"['wenig', 'klimaschutz', 'programm', 'auswandern', 'vernachlässigt', 'ambitioniertem', 'krediten', 'klimaschutzprogrammen', 'afrikanische', 'hochschul', 'bedauerlicherweise', 'egal']"
52,39,"['svenja', 'ministerin', 'froh', 'begrüße', 'gute', 'dankbar', 'klimabeauftragte', 'haushaltsausschuss', 'guten', 'gelobt', 'umweltministerin', 'gesetz']"
53,39,"['steuer', 'co2', 'zertifikate', 'kostenlos', 'faktische', 'steuern', 'grundgesetzänderung', 'eingeführt', 'pendler', 'besteuerung', 'unternehmen', 'einführbar']"
54,37,"['nachhaltigkeit', 'naturschutz', 'ökosysteme', 'artenschutz', 'biodiversität', 'umweltschutz', 'wasserhaushalt', 'biologischen', 'klima', 'luftqualität', 'natur', 'umwelt']"
55,36,"['coronakrise', 'corona', 'coronapandemie', 'klimakrise', 'krisen', 'vorausschauend', 'nachhaltigkeitsziele', 'präventiv', 'pause', 'krise', 'angst', 'globalen']"
56,36,"['beweis', 'wissenschaftlichen', 'menschengemachte', 'menschengemachten', 'hypothese', 'geologischen', 'menschengemacht', 'temperatur', 'klimawandel', 'beeinflusst', 'klimaschwankungen', 'beweisen']"
57,33,"['hilft', 'verzögert', 'dynamisches', 'konzeption', 'arbeitsplatzsicherheit', 'klimaschutz', 'klima', 'anreize', 'energiesystems', 'wohnwende', 'aufgabe', 'eierlegende']"
58,32,"['preis', 'mehrkosten', 'tragen', 'kosten', 'co2', 'gebäude', 'zahlen', 'heizkosten', 'wirkungslos', 'fordern', 'bezahlen', 'höhe']"
59,32,"['wasserstoff', 'schlüsselrohstoff', 'wasserstoffwirtschaft', 'klimaneutrale', 'ökostrom', 'wasserstoffstrategie', 'energiewende', 'kraftstoffe', 'zentraler', 'klimaschützer', 'lösung', 'allzweckenergieträger']"
60,31,"['stadt', 'städtebauförderung', 'stadtgrün', 'städte', 'städten', 'kommunen', 'quartier', 'klimaresilient', 'verbessern', 'pandemie', 'schwerpunktthemen', 'umweltverbund']"
61,31,"['emissionshandel', 'brennstoffemissionshandelsgesetz', 'emissionshandelssystem', 'hätte', 'system', 'regulierungen', 'außenhandelspolitik', 'aufschieben', 'markteinführung', 'wärmen', 'stillgelegte', 'effektiveren']"
62,29,"['windkraft', 'wind', 'windenergie', 'photovoltaik', 'energiewende', 'sonnenenergie', 'arbeitsplätze', 'energieversorgung', 'solardeckel', 'entfesselungsprogramm', 'windenergieprojekte', 'windgipfel']"
63,28,"['klimaforschung', 'forschungsarbeit', 'forschen', 'geleistet', 'forschung', 'wissenschaft', 'grundlagenforschung', 'klimawissenschaftlers', 'heimatstadt', 'großforschungsprojekte', 'freiburg', 'forschungsverbünde']"
64,26,"['investitionen', 'investieren', 'investition', 'unternehmen', 'wiederaufbaufonds', 'aufbaufonds', 'klimainvestitionen', 'klimabeschlüsse', 'ideologieprojekte', 'investitionshilfen', 'investitionsmotor', 'investitionszyklen']"
65,26,"['verkehr', 'emissionen', 'auto', 'benziner', 'autos', 'co2', 'verkehrssektor', 'lkw', 'verkehrsbereich', 'grenzwerte', 'motorisierte', 'naturschutzgebiete']"
66,25,"['rechtsstaat', 'kulturellen', 'macht', 'extremismus', 'gesellschaftlichen', 'rechtsextremismus', 'mitverantwortlich', 'studies', 'medien', 'gewalt', 'angeblich', 'angst']"
67,24,"['tonnen', 'millionen', '400', 'liter', 'co2', '000', '71', '940', '740', 'quadraten', 'molekül', 'fluorkohlenwasserstoffe']"
68,24,"['1990', 'treibhausgasemissionen', '2030', 'reduzieren', '2020', 'treibhausgasen', 'vergleich', '95', 'deutscher', '70', 'verringern', 'klimaschutzziel']"
69,23,"['gebäudesektor', 'asphalt', 'beton', 'emissionen', 'deutschland', 'gebäudebereich', 'großer', 'weltweit', 'rohstoffabbaus', 'endenergieverbrauches', 'footprint', 'wohngebäude']"
70,22,"['geld', 'klimafinanzierung', 'ausgeben', 'internationalen', 'finanzierung', 'natürlichen', 'finanzieren', 'ausgabeschwerpunkte', 'klimaschutzvorhaben', 'gegenleistungen', 'forschungsinstitutionen', 'geldgeber']"
71,22,"['sozial', 'einnahmen', 'verbraucher', 'ausgewogen', 'co2', 'verbraucherinnen', 'zurückgibt', 'benefit', 'begünstigen', 'zurückgezahlt', 'geforderte', 'briten']"
72,22,"['verkehrswende', 'ideologische', 'hunderttausender', 'lebenslüge', '51', 'verkehrsvermeidung', 'ausbleibenden', 'unerschwinglich', 'handlungsalltag', 'reiselust', 'betroffener', 'töricht']"
73,21,"['emissionsärmeren', 'autofahren', 'teurer', 'fahrzeuge', 'steuer', 'autos', 'fahrzeugen', 'steuersätzen', 'finanzieren', 'emissionsfreien', 'besteuert', 'anreiz']"
74,21,"['strommix', 'diesel', 'produktion', 'elektrofahrzeug', 'fahrleistung', 'diesels', 'batterie', 'ausstoß', 'elektroauto', 'moderner', 'gefahren', 'co2']"
75,20,"['europa', 'kontinent', '2050', 'klimaneutralen', 'klimaneutral', 'klimaneutrales', 'klimaneutralität', 'europäische', 'angestrebten', 'portugal', 'landung', 'luxemburg']"
76,20,"['fracking', 'erdgas', 'gas', 'gaslieferungen', 'russland', 'importieren', 'nord', 'energiewende', 'kernenergie', 'deutschland', 'durchlauferhitzer', 'energieunion']"
77,19,"['angst', 'blackout', 'sorgen', 'betrachten', 'erliegens', 'gemeinsamkeit', 'empathie', 'herbeigeführten', 'hohepriester', 'horrorszenarien', 'spürte', 'warnten']"
78,19,"['ipcc', 'weltklimarat', 'sensitivity', 'equilibrium', 'climate', 'sonderbericht', 'weltklimarates', 'klimakonferenz', 'dringendsten', 'nachzuweisen', 'klimabericht', 'schlussbericht']"
79,19,"['investitionen', 'digitalisierung', 'investieren', 'technologien', 'infrastruktur', 'digitalen', 'langfristig', 'bildungseinrichtungen', 'nettoinvestitionen', 'zukunftsbranchen', 'investitionsrendite', 'staatsausgaben']"
80,19,"['anreize', 'technologien', 'klimafreundliche', 'anreizen', 'klimafreundliches', 'anreizsystem', 'marktprozesse', 'elektrolyseanlagen', 'anreizpaket', 'elektrolyseure', 'zukunftsinnovationen', 'innovationspakts']"
81,18,"['kraftstoffe', 'neutrale', 'biomethan', 'neutralen', 'wasserstoff', 'neutral', 'energieversorgung', 'emissionsfreiheit', 'verbrennungsmaschine', 'transportabel', 'nullemission', 'co2']"
82,18,"['china', 'unbegrenzt', 'entwicklungsländer', '2030', '60', 'emissionen', 'limit', 'entwicklungsländern', 'emittieren', 'entwicklungsland', 'pariser', 'weltweit']"
83,18,"['elektroautos', 'automobilindustrie', 'gesetzgebung', 'fahrzeuge', 'elektromobilitäts', 'angetriebenen', 'ineffizienteste', 'langstreckenflügen', 'technologiewandel', 'tempolimits', 'kilometer', 'elektromobilität']"
84,18,"['tonnen', 'eingespart', 'sparen', 'circa', 'einsparung', 'co2', '1990', 'einsparzielen', 'einsparziel', 'versenkt', 'innerdeutschen', 'jänschwalde']"
85,18,"['klimakonsens', 'cdu', 'bundesvorsitzende', 'konsens', 'nationalen', 'angekündigt', 'vorschlag', 'parteiübergreifenden', 'konsultationen', 'beschreit', 'klimapaktes', 'haupttagesordnungspunkte']"
86,18,"['heizkosten', 'steigen', 'haushalte', 'gestiegen', 'fossilen', 'wohnkosten', 'preissteigerungen', 'sozialleistungen', 'minierhöhungen', 'spritkosten', 'brennstoffkosten', 'co2']"
87,18,"['gebäude', 'praktikable', 'unbürokratische', 'gebäudesektor', 'gebäudesanierungsprogramm', 'wohnraum', 'gebäudeenergiegesetz', 'einzusparen', 'energieeffizienzmaßnahmen', 'energieeinsparung', 'renovation', 'nichtwohngebäuden']"
88,17,"['nachhaltiger', 'flussniederungen', 'energiesparwahn', 'stabilisierenden', 'rechenzentren', 'innovativer', 'energieverbrauch', 'klimaverträglich', 'fairer', 'energiekosten', 'kostengünstigsten', 'effizientesten']"
89,17,"['csu', 'cdu', 'bereit', 'fraktion', 'verkündungswettbewerb', 'rednerinnen', 'abgestimmt', 'erpresst', 'sachverstand', 'beachtet', 'schweigekartell', 'klimaschutzpolitischen']"
90,16,"['familie', '000', 'euro', 'jahr', '600', 'zahlt', 'bezahlt', '2025', '2026', 'steuer', 'klimahysterie', 'kostet']"
91,16,"['celsius', '1850', 'erderwärmung', 'temperaturausgangswert', 'temperaturwert', 'erwärmte', 'levermann', '000284', 'temperatur', 'rodungsstopp', 'quantifizieren', 'planck']"
92,15,"['klimaschutzprogramm', 'bundesregierung', 'beurteilt', 'programmsätze', 'kommunalrichtlinie', 'klimaschutzstudie', 'klimaschutzkonzepte', 'klimaschutzpaketes', 'ernährungswirtschaft', 'arbeitsprogramm', 'maßnahmenprogramm', 'klimaschutzlücke']"
93,15,"['trockenheit', 'überschwemmungen', 'klimawandels', 'dürrehilfen', 'wetterphänomen', 'wüstenbildung', 'überschwemmung', 'versalzung', 'sahelzone', 'ernteeinbußen', 'extremwetterlagen', 'hintergrund']"
94,15,"['ipcc', 'bericht', 'ar5', 'verleiten', 'aktionistisch', 'korrupten', 'sonderberichts', 'unterentwickelter', 'erzielt', 'umzuverteilen', 'weltuntergangsstimmung', 'mandat']"
